Latitude,Longitude,SurfaceWater_Availability,Groundwater_Availability,Water_Stress_Index,Potable_Population_Served,Potable_Capacity_MGD
40.0,-94.48,2.45,0.68,0.6,183759,58.93
40.0,-92.45,0.33,0.5,0.88,361225,27.81
40.0,-90.41,0.02,2.3,0.19,109196,5.97
40.0,-88.38,2.94,3.94,0.57,195456,73.84
40.0,-86.34,2.44,0.6,0.66,362918,86.75
40.0,-84.31,2.69,3.06,0.28,219537,83.74
40.0,-82.28,2.32,3.91,0.96,18199,96.51
40.0,-80.24,4.81,0.99,0.15,287196,20.73
40.0,-78.21,2.77,2.0,0.95,224837,62.53
40.0,-76.17,3.97,2.51,0.15,272952,12.24
40.0,-74.14,2.49,1.02,0.32,23904,47.75
40.0,-72.1,2.39,4.06,0.77,431317,21.08
40.0,-70.07,4.72,2.89,0.3,403189,51.1
40.0,-68.03,2.76,3.27,0.09,44020,23.82
40.0,-66.0,4.14,3.25,0.94,476283,10.77
41.0,-125.0,3.71,2.69,0.07,134530,79.93
41.0,-122.97,3.51,4.42,0.92,231424,7.23
41.0,-120.93,3.66,3.96,0.92,77709,43.11
41.0,-118.9,3.13,2.77,0.97,433299,3.14
41.0,-116.86,1.08,1.29,0.28,265306,87.27
41.0,-114.83,2.43,2.7,0.3,324999,87.17
41.0,-112.79,2.77,4.25,0.69,144007,37.64
41.0,-110.76,3.15,1.95,0.1,311943,30.63
41.0,-108.72,2.46,2.26,0.99,302979,5.3
41.0,-106.69,2.64,1.81,0.89,37183,70.6
41.0,-104.66,3.95,4.37,0.5,427093,90.83
41.0,-102.62,2.16,1.29,0.22,451996,39.36
41.0,-100.59,4.74,4.95,0.22,27595,76.44
41.0,-98.55,2.81,4.25,0.42,167298,91.41
41.0,-96.52,0.87,2.8,0.91,16116,42.6
41.0,-94.48,1.9,0.79,0.98,444129,94.26
41.0,-92.45,4.34,3.0,0.13,394999,25.02
41.0,-90.41,2.48,3.33,0.8,226864,25.41
41.0,-88.38,3.23,2.35,0.75,125226,61.89
41.0,-86.34,3.39,1.61,0.77,191440,51.23
41.0,-84.31,2.46,3.82,0.39,440822,71.99
41.0,-82.28,2.46,1.86,0.66,120219,10.12
41.0,-80.24,4.19,0.87,0.81,38648,4.87
41.0,-78.21,0.93,0.64,0.19,91262,4.2
41.0,-76.17,3.24,2.8,0.63,300498,74.16
41.0,-74.14,1.41,1.69,0.01,39116,35.44
41.0,-72.1,4.44,4.67,0.81,118665,83.62
41.0,-70.07,0.31,2.24,0.27,294442,9.4
41.0,-68.03,4.87,1.47,0.17,492102,91.02
41.0,-66.0,1.78,4.87,0.69,439990,7.6
42.0,-125.0,1.21,3.37,0.54,371256,38.34
42.0,-122.97,0.37,4.6,0.6,257533,53.08
42.0,-120.93,3.28,4.65,0.77,291597,18.54
42.0,-118.9,3.4,2.42,0.84,67461,21.72
42.0,-116.86,0.85,1.77,0.31,244803,91.42
42.0,-114.83,1.25,0.21,0.79,6174,27.51
42.0,-112.79,4.03,2.21,0.23,451422,44.39
42.0,-110.76,1.32,4.8,0.45,413013,53.01
42.0,-108.72,4.32,0.09,0.74,56075,84.96
42.0,-106.69,2.44,1.5,0.04,372411,77.21
42.0,-104.66,4.4,3.77,0.19,328157,96.26
42.0,-102.62,0.04,3.04,0.02,454529,94.38
42.0,-100.59,3.64,1.04,0.91,278267,17.44
42.0,-98.55,4.46,0.76,0.05,185408,21.71
42.0,-96.52,4.96,1.14,0.66,268919,67.33
42.0,-94.48,4.81,3.28,0.59,395309,40.25
42.0,-92.45,2.18,2.37,0.51,339525,31.97
42.0,-90.41,3.44,2.29,0.47,84736,19.95
42.0,-88.38,3.96,1.55,0.44,210152,89.26
42.0,-86.34,3.86,3.97,0.15,234742,22.25
42.0,-84.31,3.79,0.84,0.24,232594,18.57
42.0,-82.28,3.75,4.83,0.94,226028,17.0
42.0,-80.24,2.89,1.93,0.4,73908,99.47
42.0,-78.21,0.86,1.15,0.61,471588,98.56
42.0,-76.17,1.85,5.0,0.86,230559,66.63
42.0,-74.14,0.29,4.95,0.04,102986,80.74
42.0,-72.1,2.89,0.03,0.0,144230,17.82
42.0,-70.07,1.64,4.85,0.74,193227,45.49
42.0,-68.03,4.93,3.73,0.58,310648,71.74
42.0,-66.0,1.96,4.5,0.95,296674,5.3
43.0,-125.0,0.79,4.33,0.26,281426,83.54
43.0,-122.97,1.19,2.11,0.38,222740,57.94
43.0,-120.93,3.36,2.22,0.33,490859,7.13
43.0,-118.9,2.23,4.24,0.6,418589,87.47
43.0,-116.86,4.01,2.7,0.86,300530,17.62
43.0,-114.83,3.87,2.44,0.51,403152,35.22
43.0,-112.79,4.81,4.42,0.92,292528,28.82
43.0,-110.76,4.48,4.93,0.89,282187,94.5
43.0,-108.72,1.2,1.62,0.29,37310,52.98
43.0,-106.69,2.4,3.48,0.43,426577,45.82
43.0,-104.66,2.47,0.26,0.5,445514,28.01
43.0,-102.62,3.81,3.91,0.74,451155,67.68
43.0,-100.59,2.3,4.52,0.18,427903,16.66
43.0,-98.55,3.79,1.82,0.95,326967,14.01
43.0,-96.52,0.31,3.26,0.08,38642,71.74
43.0,-94.48,4.55,4.02,0.59,45761,60.34
43.0,-92.45,4.53,1.67,0.12,326762,73.95
43.0,-90.41,2.59,2.35,0.88,358076,7.03
43.0,-88.38,2.45,2.53,0.64,445424,43.31
43.0,-86.34,2.03,0.22,0.16,208277,97.57
43.0,-84.31,4.57,4.48,0.54,361529,54.63
43.0,-82.28,0.09,1.32,0.8,247306,74.18
43.0,-80.24,2.21,4.04,0.6,275513,34.38
43.0,-78.21,4.72,2.72,0.35,319180,57.65
43.0,-76.17,3.08,4.24,0.03,57403,46.06
43.0,-74.14,2.46,1.29,0.43,145830,63.79
43.0,-72.1,0.02,0.47,0.93,458820,20.53
43.0,-70.07,2.17,3.6,0.45,426577,88.69
43.0,-68.03,0.73,1.21,0.69,482795,34.92
43.0,-66.0,1.49,0.87,0.92,446824,32.3
44.0,-125.0,0.19,2.55,0.93,67692,10.89
44.0,-122.97,4.5,0.79,0.06,438668,91.91
44.0,-120.93,2.51,0.16,0.44,387036,9.0
44.0,-118.9,3.1,3.08,0.39,312690,10.29
44.0,-116.86,0.26,2.21,0.36,211957,16.63
44.0,-114.83,0.25,4.89,0.72,114520,31.61
44.0,-112.79,1.57,2.69,0.55,424384,2.94
44.0,-110.76,3.27,4.77,0.02,212342,75.89
44.0,-108.72,1.56,0.05,0.29,321481,48.58
44.0,-106.69,0.98,1.55,0.55,145154,37.21
44.0,-104.66,0.61,2.31,0.47,461586,69.19
44.0,-102.62,4.11,1.83,0.47,402058,51.93
44.0,-100.59,4.07,0.52,0.02,20890,85.08
44.0,-98.55,2.57,3.41,0.94,123164,62.16
44.0,-96.52,2.77,1.54,0.29,49295,13.67
44.0,-94.48,2.61,1.36,0.33,351249,54.45
44.0,-92.45,3.23,2.5,0.48,280135,53.31
44.0,-90.41,3.67,0.41,0.95,118122,84.49
44.0,-88.38,3.29,2.94,0.25,94276,16.06
44.0,-86.34,2.41,2.69,0.86,363706,10.97
44.0,-84.31,2.54,3.71,0.76,303101,52.34
44.0,-82.28,2.59,4.93,0.34,171586,41.64
44.0,-80.24,3.94,3.07,0.94,177497,49.09
44.0,-78.21,2.82,4.55,0.96,288778,56.01
44.0,-76.17,1.07,1.6,0.79,114650,93.53
44.0,-74.14,2.44,4.4,0.5,166260,67.02
44.0,-72.1,1.54,3.87,0.62,176789,14.36
44.0,-70.07,2.63,3.84,0.68,66521,81.73
44.0,-68.03,4.42,1.29,0.65,407844,46.91
44.0,-66.0,2.38,0.66,0.79,377755,10.12
45.0,-125.0,2.93,1.78,0.41,259973,91.3
45.0,-122.97,2.44,2.91,0.57,195984,62.73
45.0,-120.93,1.11,1.5,0.88,421991,9.25
45.0,-118.9,4.42,3.15,0.52,331558,85.5
45.0,-116.86,4.93,3.7,0.45,427841,71.23
45.0,-114.83,4.86,3.26,0.88,91558,30.49
45.0,-112.79,2.57,1.88,0.63,125143,59.94
45.0,-110.76,2.95,1.19,0.78,227597,29.99
45.0,-108.72,0.33,1.74,0.01,130333,18.17
45.0,-106.69,4.83,3.93,0.62,10247,17.86
45.0,-104.66,2.09,4.63,0.73,489924,36.04
45.0,-102.62,0.44,1.62,0.68,75467,98.71
45.0,-100.59,1.58,0.48,0.96,164415,81.82
45.0,-98.55,3.97,3.05,0.96,202337,25.91
45.0,-96.52,4.8,4.24,0.46,169628,94.66
45.0,-94.48,2.14,4.47,0.46,283398,73.77
45.0,-92.45,1.93,0.91,0.02,369559,32.43
45.0,-90.41,1.5,0.57,0.65,38429,94.21
45.0,-88.38,4.66,2.1,0.46,93638,78.64
45.0,-86.34,2.67,0.53,0.76,427476,56.35
45.0,-84.31,2.22,2.34,0.14,14375,62.56
45.0,-82.28,2.9,1.48,0.85,247713,44.18
45.0,-80.24,0.16,4.65,0.72,126325,76.98
45.0,-78.21,4.69,3.46,0.16,129117,20.11
45.0,-76.17,0.18,1.17,0.33,392549,23.44
45.0,-74.14,2.49,3.21,0.46,294629,85.24
45.0,-72.1,2.5,2.09,0.3,333120,2.02
45.0,-70.07,0.71,2.22,0.17,254648,83.94
45.0,-68.03,3.31,0.28,0.31,332327,88.43
45.0,-66.0,3.49,1.16,0.42,237962,20.13
46.0,-125.0,4.76,1.94,0.01,132968,32.21
46.0,-122.97,1.83,0.22,0.86,311111,76.91
46.0,-120.93,0.76,0.56,0.76,371058,11.54
46.0,-118.9,0.06,4.86,0.62,52148,52.47
46.0,-116.86,2.19,1.27,0.12,83961,67.82
46.0,-114.83,4.7,4.97,0.05,138548,6.8
46.0,-112.79,4.86,2.56,0.93,167842,14.47
46.0,-110.76,1.74,4.46,0.45,58389,65.44
46.0,-108.72,0.2,4.56,0.81,214950,86.73
46.0,-106.69,4.95,0.28,0.54,3013,81.16
46.0,-104.66,4.49,2.02,0.27,376754,89.49
46.0,-102.62,2.35,0.45,0.02,351635,81.98
46.0,-100.59,2.13,0.15,0.39,424593,19.58
46.0,-98.55,2.38,3.98,0.96,193790,56.54
46.0,-96.52,4.67,1.01,0.14,397835,15.86
46.0,-94.48,1.48,1.24,0.45,303630,49.33
46.0,-92.45,2.84,1.99,0.6,391709,7.92
46.0,-90.41,2.34,2.0,0.88,403509,13.36
46.0,-88.38,4.26,4.67,0.91,375143,68.27
46.0,-86.34,0.81,0.22,0.48,213866,7.15
46.0,-84.31,1.07,4.0,0.63,235375,80.93
46.0,-82.28,3.53,4.43,0.08,257586,44.94
46.0,-80.24,2.39,0.33,0.6,139456,92.82
46.0,-78.21,3.72,1.41,0.52,267816,86.85
46.0,-76.17,1.23,0.4,0.15,319094,31.06
46.0,-74.14,3.4,3.71,0.89,165909,67.81
46.0,-72.1,1.21,3.02,0.26,37436,71.66
46.0,-70.07,3.55,4.13,0.65,390651,51.05
46.0,-68.03,1.64,1.59,0.51,345080,69.98
46.0,-66.0,0.02,0.18,0.41,181876,23.58
47.0,-125.0,1.45,0.33,0.24,499778,37.81
47.0,-122.97,4.06,3.81,0.5,279092,55.1
47.0,-120.93,3.29,2.81,0.34,405242,27.47
47.0,-118.9,4.9,2.06,0.77,359471,80.55
47.0,-116.86,0.87,2.41,0.67,227084,17.09
47.0,-114.83,1.99,1.64,0.2,465803,79.56
47.0,-112.79,1.31,4.4,0.65,460318,1.09
47.0,-110.76,1.01,3.24,0.41,286863,99.94
47.0,-108.72,1.87,3.97,0.77,452482,15.22
47.0,-106.69,3.33,3.4,0.36,142657,9.6
47.0,-104.66,1.32,3.53,0.73,419921,86.17
47.0,-102.62,4.88,4.68,0.41,30647,75.53
47.0,-100.59,2.17,4.43,0.55,433656,84.6
47.0,-98.55,1.5,1.48,1.0,353984,52.27
47.0,-96.52,3.29,1.33,0.51,104263,35.87
47.0,-94.48,4.63,1.43,0.12,328558,9.64
47.0,-92.45,2.87,0.45,0.81,280408,56.76
47.0,-90.41,3.67,0.43,0.37,299182,73.37
47.0,-88.38,2.34,4.56,0.7,302295,90.25
47.0,-86.34,1.93,3.87,0.88,499691,64.0
47.0,-84.31,3.35,4.28,0.0,466624,77.04
47.0,-82.28,2.51,0.41,0.85,24987,5.04
47.0,-80.24,0.73,3.74,0.16,29261,7.07
47.0,-78.21,2.15,2.39,0.05,334322,80.62
47.0,-76.17,2.63,4.16,0.39,56207,20.89
47.0,-74.14,2.49,1.88,0.99,272591,66.96
47.0,-72.1,4.65,4.74,0.84,400946,11.65
47.0,-70.07,4.36,2.74,0.79,452839,35.78
47.0,-68.03,1.64,4.22,0.18,65959,71.26
47.0,-66.0,0.01,2.8,0.14,471884,22.45
48.0,-125.0,3.46,3.75,0.54,75387,20.68
48.0,-122.97,1.14,0.41,0.42,25184,40.53
48.0,-120.93,3.51,1.97,0.21,123558,73.38
48.0,-118.9,2.98,1.92,0.94,77010,64.35
48.0,-116.86,0.04,4.06,0.71,99086,15.89
48.0,-114.83,0.12,0.51,0.45,345384,84.11
48.0,-112.79,4.83,1.57,0.23,268476,44.18
48.0,-110.76,3.66,1.33,0.32,474769,5.34
48.0,-108.72,1.46,0.03,0.86,463710,38.31
48.0,-106.69,4.42,4.79,0.28,18757,74.19
48.0,-104.66,0.39,2.32,0.31,196022,21.7
48.0,-102.62,2.85,3.66,0.01,389363,56.1
48.0,-100.59,2.62,3.48,0.28,41809,94.02
48.0,-98.55,0.78,0.18,0.4,242999,1.87
48.0,-96.52,0.95,1.58,0.64,225891,31.55
48.0,-94.48,1.08,4.75,0.12,291159,86.89
48.0,-92.45,1.37,1.13,0.12,424478,51.44
48.0,-90.41,3.69,3.56,0.05,8599,91.84
48.0,-88.38,4.39,2.28,0.57,310267,16.6
48.0,-86.34,2.26,2.89,0.53,224023,86.52
48.0,-84.31,0.66,1.16,0.33,190986,62.6
48.0,-82.28,4.46,4.78,0.82,444725,15.03
48.0,-80.24,4.57,3.84,0.64,463142,84.58
48.0,-78.21,3.58,3.89,0.66,25967,55.49
48.0,-76.17,1.17,3.51,0.6,154175,53.55
48.0,-74.14,0.23,4.34,0.76,11019,73.79
48.0,-72.1,1.87,2.16,0.07,137873,20.77
48.0,-70.07,3.08,0.43,0.11,284667,57.55
48.0,-68.03,0.05,3.51,0.98,253410,90.61
48.0,-66.0,0.37,2.68,0.89,384246,13.49
49.0,-125.0,2.0,4.99,0.92,265208,47.88
49.0,-122.97,3.45,1.37,0.64,255646,91.28
49.0,-120.93,2.45,4.37,0.95,41307,45.49
49.0,-118.9,3.08,4.43,0.16,4687,18.97
49.0,-116.86,4.47,4.28,0.01,203266,26.84
49.0,-114.83,1.53,3.18,0.49,312955,88.94
49.0,-112.79,4.87,1.89,0.82,254999,98.14
49.0,-110.76,4.36,4.73,0.11,437528,8.25
49.0,-108.72,0.32,2.42,0.78,436855,86.41
49.0,-106.69,4.38,1.19,0.19,354145,94.96
49.0,-104.66,1.5,1.66,0.92,290061,31.09
49.0,-102.62,0.47,3.03,0.62,343861,43.34
49.0,-100.59,0.79,4.82,0.6,73976,8.8
49.0,-98.55,1.99,3.02,0.7,41861,36.2
49.0,-96.52,0.21,1.39,0.06,348365,60.51
49.0,-94.48,0.22,3.56,0.03,454936,54.25
49.0,-92.45,2.44,0.53,0.69,448872,50.46
49.0,-90.41,0.22,1.94,0.13,335768,26.35
49.0,-88.38,2.5,0.3,0.27,109364,89.94
49.0,-86.34,2.14,0.49,0.03,173875,28.63
49.0,-84.31,1.6,2.12,0.17,114110,1.91
49.0,-82.28,4.27,4.72,0.74,405659,21.84
49.0,-80.24,3.46,4.89,0.02,190588,9.4
49.0,-78.21,2.18,1.22,0.47,137227,34.4
49.0,-76.17,3.27,3.16,0.74,25579,97.12
49.0,-74.14,3.46,2.73,0.95,416975,76.15
49.0,-72.1,2.43,3.18,0.67,145824,88.53
49.0,-70.07,4.12,2.76,0.67,75967,72.61
49.0,-68.03,2.2,1.27,0.66,288095,25.91
49.0,-66.0,4.2,1.96,0.99,153892,34.3
